Time,yaw,pitch,roll,acx,acy,acz,gyx,gyy,gyz,mgx,mgy,mgz,ayaw,apitch,aroll,,sys,g,a,m,delete1,delete2,delete3,time
0:00:00.017,125,0.88,-0.94,0.22,0.14,9.82,0.06,-0.12,0,-23.19,-15.5,17.19,124.86,1.23,-0.78,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,125,0.88,-0.94,0.2,0.15,9.82,0.06,-0.06,-0.06,-23.5,-15.06,17.06,124.68,1.16,-0.89,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,125,0.88,-0.94,0.2,0.11,9.83,-0.06,0.06,0.06,-23.5,-15.06,17.06,124.52,1.11,-0.91,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,125,0.88,-0.94,0.18,0.14,9.79,0,-0.06,-0.06,-23.19,-17,16,124.7,1.15,-0.81,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,125,0.88,-0.94,0.2,0.13,9.82,0.06,-0.06,0,-23.19,-17,16,124.86,1.2,-0.73,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,125,0.88,-0.94,0.22,0.13,9.8,0.06,0,-0.12,-22.75,-15.5,18.25,124.8,1.2,-0.77,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,125,0.88,-0.94,0.21,0.12,9.8,0.12,0.06,0,-22.75,-15.5,18.25,124.75,1.19,-0.78,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,125,0.88,-0.94,0.21,0.14,9.8,0.06,0,0,-23.19,-16.56,18.25,124.82,1.23,-0.75,,3,3,3,3,0,0,0.017,0.017
0:00:00.133,125,0.88,-0.94,0.18,0.11,9.81,0.06,0,-0.06,-23.19,-16.56,18.25,124.89,1.2,-0.69,,3,3,3,3,0,0,0.133,0.133
0:00:00.133,125,0.88,-0.94,0.21,0.13,9.8,0,-0.06,-0.06,-23.5,-16.19,17.87,124.85,1.2,-0.73,,3,3,3,3,0,0,0.133,0.133
0:00:00.133,125,0.88,-0.94,0.2,0.13,9.83,0.12,-0.06,0.06,-23.5,-16.19,17.87,124.82,1.18,-0.75,,3,3,3,3,0,0,0.133,0.133
0:00:00.133,125,0.88,-0.94,0.21,0.13,9.79,0,0,-0.06,-22.75,-16.19,17.06,124.87,1.21,-0.73,,3,3,3,3,0,0,0.133,0.133
0:00:00.133,125,0.88,-0.94,0.21,0.13,9.83,0,0,0.06,-22.75,-16.19,17.06,124.92,1.23,-0.71,,3,3,3,3,0,0,0.133,0.133
0:00:00.234,125,0.88,-0.94,0.22,0.13,9.83,0.12,0.06,0,-24.25,-16.19,17.5,124.81,1.21,-0.78,,3,3,3,3,0,0,0.234,0.234
0:00:00.234,125,0.88,-0.94,0.2,0.13,9.8,0.06,0.06,0,-24.25,-16.19,17.5,124.72,1.17,-0.82,,3,3,3,3,0,0,0.234,0.234
0:00:00.234,125,0.88,-0.94,0.22,0.14,9.79,0,-0.06,-0.12,-22.75,-16.19,17.87,124.79,1.22,-0.78,,3,3,3,3,0,0,0.234,0.234
0:00:00.234,125,0.88,-0.94,0.21,0.14,9.81,0,-0.06,-0.06,-22.75,-16.19,17.87,124.84,1.24,-0.76,,3,3,3,3,0,0,0.234,0.234
0:00:00.355,125,0.88,-0.94,0.19,0.14,9.81,0,0,0.12,-22,-15.75,17.5,124.91,1.23,-0.75,,3,3,3,3,0,0,0.355,0.355
0:00:00.355,125,0.88,-0.94,0.21,0.13,9.8,0.12,-0.12,0,-22,-15.75,17.5,124.97,1.25,-0.72,,3,3,3,3,0,0,0.355,0.355
0:00:00.355,125,0.88,-0.94,0.2,0.13,9.82,0.06,0,-0.06,-23.5,-16.56,17.87,124.98,1.23,-0.73,,3,3,3,3,0,0,0.355,0.355
0:00:00.355,125,0.88,-0.94,0.2,0.13,9.8,0,-0.06,0,-23.5,-16.56,17.87,124.99,1.22,-0.73,,3,3,3,3,0,0,0.355,0.355
0:00:00.355,125,0.88,-0.94,0.22,0.13,9.81,0,0,0,-23.19,-16.56,17.19,125.04,1.25,-0.72,,3,3,3,3,0,0,0.355,0.355
0:00:00.455,125,0.88,-0.94,0.2,0.12,9.8,0,-0.12,-0.12,-23.19,-16.56,17.19,125.08,1.25,-0.69,,3,3,3,3,0,0,0.455,0.455
0:00:00.455,125,0.88,-0.94,0.21,0.12,9.81,0.19,-0.06,0.06,-22.75,-16.56,17.06,125.17,1.27,-0.66,,3,3,3,3,0,0,0.455,0.455
0:00:00.455,125,0.88,-0.94,0.2,0.13,9.81,0,-0.06,-0.06,-22.75,-16.56,17.06,125.24,1.27,-0.65,,3,3,3,3,0,0,0.455,0.455
0:00:00.455,125,0.88,-0.94,0.19,0.15,9.83,0.12,-0.06,0,-23.5,-15.75,17.5,125.11,1.19,-0.76,,3,3,3,3,0,0,0.455,0.455
