Time,yaw,pitch,roll,acx,acy,acz,gyx,gyy,gyz,mgx,mgy,mgz,ayaw,apitch,aroll,,sys,g,a,m,delete1,delete2,delete3,time
0:00:00.017,80,-0.06,-0.06,-0.01,0,9.82,-0.06,0,0,-30.37,4.75,18.19,81.6,-0.13,-0.11,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,80,-0.06,-0.06,0,0.01,9.78,0,0,0.06,-30.75,4.75,17.75,81.55,-0.07,-0.12,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,80,-0.06,-0.06,-0.07,0,9.81,-0.06,0.06,-0.19,-30.75,4.75,17.75,81.5,-0.22,-0.09,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,80,-0.06,-0.06,-0.06,0.04,9.82,0,0,0.06,-29.69,3.69,17.37,81.76,-0.3,-0.01,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,80,-0.06,-0.06,0.02,0,9.82,0.06,0.12,-0.06,-29.69,3.69,17.37,81.95,-0.12,0.11,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,80,-0.06,-0.06,0,0.02,9.83,0.06,0.06,-0.06,-30.75,5.19,18.19,81.7,-0.05,-0.14,,3,3,3,3,0,0,0.017,0.017
0:00:00.017,80,-0.06,-0.06,-0.03,0.01,9.81,0,-0.12,-0.06,-30.75,5.19,18.19,81.51,-0.08,-0.21,,3,3,3,3,0,0,0.017,0.017
0:00:00.108,80,-0.06,-0.06,-0.02,0.01,9.81,0.06,0.06,-0.12,-30.75,3,18.19,82.06,-0.14,0.19,,3,3,3,3,0,0,0.108,0.108
0:00:00.108,80,-0.06,-0.06,-0.02,0.01,9.85,-0.12,-0.06,0.06,-30.75,3,18.19,82.46,-0.15,0.31,,3,3,3,3,0,0,0.108,0.108
0:00:00.108,80,-0.06,-0.06,-0.04,0.01,9.81,0.06,-0.12,-0.06,-30.75,4.06,17.75,82.43,-0.19,0.13,,3,3,3,3,0,0,0.108,0.108
0:00:00.229,80,-0.06,-0.06,0,-0.01,9.83,-0.06,-0.06,-0.06,-30.75,4.06,17.75,82.43,-0.1,0.09,,3,3,3,3,0,0,0.229,0.229
0:00:00.229,80,-0.06,-0.06,0.02,0,9.84,0.06,0,-0.06,-31.19,5.19,19,82.12,0.02,-0.13,,3,3,3,3,0,0,0.229,0.229
0:00:00.229,80,-0.06,-0.06,-0.05,0.03,9.81,-0.06,0.19,0,-31.19,5.19,19,81.88,-0.1,-0.29,,3,3,3,3,0,0,0.229,0.229
0:00:00.229,80,-0.06,-0.06,0,-0.01,9.85,0.12,0,0,-31.19,3.69,19,82.15,-0.07,0.04,,3,3,3,3,0,0,0.229,0.229
0:00:00.229,80,-0.06,-0.06,0.02,0,9.81,0,0,0,-31.19,3.69,19,82.34,0,0.13,,3,3,3,3,0,0,0.229,0.229
0:00:00.343,80,-0.06,-0.06,-0.02,0.03,9.84,0.12,-0.12,0.06,-30.75,3.69,18.56,82.47,-0.06,0.06,,3,3,3,3,0,0,0.343,0.343
0:00:00.343,80,-0.06,-0.06,-0.02,0.02,9.82,-0.06,0.06,0,-30.75,3.69,18.56,82.58,-0.1,0.05,,3,3,3,3,0,0,0.343,0.343
0:00:00.343,80,-0.06,-0.06,0,0,9.8,0.06,-0.12,0.06,-30.75,4.06,19.37,82.55,-0.05,0.01,,3,3,3,3,0,0,0.343,0.343
0:00:00.343,80,-0.06,-0.06,0,0,9.83,0.19,-0.12,0.06,-30.75,4.06,19.37,82.54,-0.02,-0.01,,3,3,3,3,0,0,0.343,0.343
0:00:00.343,80,-0.06,-0.06,0.01,0,9.81,0.12,0,-0.06,-30.37,4.5,18.56,82.38,0.03,-0.1,,3,3,3,3,0,0,0.343,0.343
0:00:00.458,80,-0.06,-0.06,-0.01,-0.01,9.85,0.06,0.06,-0.06,-30.37,4.5,18.56,82.26,0,-0.1,,3,3,3,3,0,0,0.458,0.458
0:00:00.458,80,-0.06,-0.06,0,0.02,9.79,0.12,0.06,0.19,-30.75,4.06,18.56,82.3,-0.01,-0.08,,3,3,3,3,0,0,0.458,0.458
0:00:00.458,80,-0.06,-0.06,0.02,0,9.79,0.06,-0.06,0.06,-30.75,4.06,18.56,82.34,0.05,-0.02,,3,3,3,3,0,0,0.458,0.458
0:00:00.458,80,-0.06,-0.06,0,-0.05,9.9,-0.19,0,0.06,-30.75,4.5,19.75,82.23,0.04,0.06,,3,3,3,3,0,0,0.458,0.458
0:00:00.579,80,-0.06,-0.06,-0.01,0.02,9.79,-0.06,0.19,-0.12,-30.75,4.5,19.75,82.14,0,-0.08,,3,3,3,3,0,0,0.579,0.579
0:00:00.579,80,-0.06,-0.06,-0.05,0.02,9.85,0,0,0.12,-30.06,5.5,18.56,81.75,-0.09,-0.33,,3,3,3,3,0,0,0.579,0.579
0:00:00.579,80,-0.06,-0.06,-0.02,0,9.85,-0.12,0,0.06,-30.06,5.5,18.56,81.45,-0.07,-0.37,,3,3,3,3,0,0,0.579,0.579
0:00:00.579,80,-0.06,-0.06,0,0.02,9.77,-0.12,0,0,-30.37,4.75,18.56,81.43,-0.04,-0.27,,3,3,3,3,0,0,0.579,0.579
0:00:00.579,80,-0.06,-0.06,-0.03,0.01,9.84,-0.06,0.06,0.12,-30.37,4.75,18.56,81.4,-0.1,-0.19,,3,3,3,3,0,0,0.579,0.579
0:00:00.699,80,-0.06,-0.06,-0.01,0.02,9.82,-0.12,0.06,-0.06,-30.06,3.69,17.37,81.7,-0.1,0.02,,3,3,3,3,0,0,0.699,0.699
0:00:00.699,80,-0.06,-0.06,0,0.01,9.82,0.12,0.12,0,-30.06,3.69,17.37,81.92,-0.07,0.11,,3,3,3,3,0,0,0.699,0.699
0:00:00.699,80,-0.06,-0.06,0,-0.01,9.85,0.12,0,0.06,-30.37,3.69,19,82.11,-0.05,0.2,,3,3,3,3,0,0,0.699,0.699
0:00:00.699,80,-0.06,-0.06,-0.03,0.02,9.81,0,-0.12,0.06,-30.37,3.69,19,82.25,-0.12,0.14,,3,3,3,3,0,0,0.699,0.699
0:00:00.699,80,-0.06,-0.06,-0.02,0,9.86,-0.06,-0.06,0,-31.19,4.5,19,82.16,-0.11,0.02,,3,3,3,3,0,0,0.699,0.699
0:00:00.799,80,-0.06,-0.06,0.01,0.01,9.85,-0.19,0,0,-31.19,4.5,19,82.1,-0.03,-0.05,,3,3,3,3,0,0,0.799,0.799
0:00:00.799,80,-0.06,-0.06,0,0.02,9.79,0.19,0.06,-0.12,-30.75,4.75,19.37,81.96,0,-0.17,,3,3,3,3,0,0,0.799,0.799
