Time,yaw,pitch,roll,acx,acy,acz,gyx,gyy,gyz,mgx,mgy,mgz,ayaw,apitch,aroll,,sys,g,a,m,delete1,delete2,delete3,time
0:00:00.023,270.38,-1,-0.12,-0.17,0.01,9.66,-0.12,0,0.19,26.19,0.5,28,269.79,-1.02,-0.03,,3,3,3,3,0,0,0.023,0.023
0:00:00.023,270.38,-1,-0.12,-0.15,0,9.64,-0.12,-0.06,0.12,25.75,-0.56,26.75,269.76,-1.01,-0.01,,3,3,3,3,0,0,0.023,0.023
0:00:00.023,270.38,-1,-0.12,-0.16,0.02,9.66,-0.12,0,0.06,25.75,-0.56,26.75,269.74,-1.01,0.01,,3,3,3,3,0,0,0.023,0.023
0:00:00.023,270.38,-1,-0.12,-0.16,0.02,9.68,0,0,0.12,25.75,-0.19,27.5,269.74,-1,0,,3,3,3,3,0,0,0.023,0.023
0:00:00.023,270.38,-1,-0.12,-0.16,0.02,9.66,0.06,0,0,25.75,-0.19,27.5,269.74,-1,-0.01,,3,3,3,3,0,0,0.023,0.023
0:00:00.023,270.38,-1,-0.12,-0.15,0.01,9.67,-0.06,0,0,27,-1,27.06,269.7,-0.99,0.03,,3,3,3,3,0,0,0.023,0.023
0:00:00.023,270.38,-1,-0.12,-0.18,0,9.67,-0.19,0,0.06,27,-1,27.06,269.66,-1,0.06,,3,3,3,3,0,0,0.023,0.023
0:00:00.121,270.38,-1,-0.12,-0.17,-0.02,9.66,0.06,-0.06,-0.19,24.69,-0.56,28,269.64,-1,0.09,,3,3,3,3,0,0,0.121,0.121
0:00:00.121,270.38,-1,-0.12,-0.17,0,9.66,0.12,0.06,-0.12,24.69,-0.56,28,269.62,-1,0.1,,3,3,3,3,0,0,0.121,0.121
0:00:00.121,270.38,-1,-0.12,-0.18,0,9.68,0,0.06,0.06,25.5,0.19,27.56,269.64,-1.01,0.07,,3,3,3,3,0,0,0.121,0.121
0:00:00.121,270.38,-1,-0.12,-0.19,0,9.67,0,-0.06,0,25.5,0.19,27.56,269.66,-1.01,0.05,,3,3,3,3,0,0,0.121,0.121
0:00:00.233,270.38,-1,-0.12,-0.17,0,9.63,0.12,0,0,25.5,0.19,28,269.67,-1.01,0.02,,3,3,3,3,0,0,0.233,0.233
0:00:00.233,270.38,-1,-0.12,-0.17,0,9.65,0.06,0.06,0,25.5,0.19,28,269.69,-1.01,0.01,,3,3,3,3,0,0,0.233,0.233
0:00:00.233,270.38,-1,-0.12,-0.18,0,9.66,0.06,0,-0.06,25.5,-0.19,27.06,269.69,-1.02,0.01,,3,3,3,3,0,0,0.233,0.233
0:00:00.233,270.38,-1,-0.12,-0.17,0,9.67,-0.06,-0.06,0.06,25.5,-0.19,27.06,269.69,-1.02,0.01,,3,3,3,3,0,0,0.233,0.233
