Time,yaw,pitch,roll,acx,acy,acz,gyx,gyy,gyz,mgx,mgy,mgz,ayaw,apitch,aroll,,sys,g,a,m,delete1,delete2,delete3,time
0:00:00.013,200,2.63,0.19,0.41,-0.04,9.69,-0.06,0,0.06,14,-39.25,18.25,198.81,2.41,0.27,,3,3,3,3,0,0,0.013,0.013
0:00:00.013,200,2.63,0.19,0.43,-0.03,9.75,0,-0.06,0.12,15.06,-39.75,17.75,199.05,2.57,0.18,,3,3,3,3,0,0,0.013,0.013
0:00:00.013,200,2.63,0.19,0.48,-0.04,9.73,0.06,-0.12,-0.12,15.06,-39.75,17.75,199.22,2.79,0.19,,3,3,3,3,0,0,0.013,0.013
0:00:00.013,200,2.63,0.19,0.44,-0.05,9.72,0,0.06,0.19,14.38,-38.56,17.75,199.25,2.66,0.26,,3,3,3,3,0,0,0.013,0.013
0:00:00.013,200,2.63,0.19,0.45,-0.03,9.73,0.06,-0.06,-0.06,14.38,-38.56,17.75,199.29,2.67,0.19,,3,3,3,3,0,0,0.013,0.013
0:00:00.111,200,2.63,0.19,0.43,-0.02,9.73,0,0,-0.06,14.69,-39.38,17.37,199.33,2.58,0.13,,3,3,3,3,0,0,0.111,0.111
0:00:00.111,200,2.63,0.19,0.45,-0.04,9.71,0.19,0,0,14.69,-39.38,17.37,199.37,2.65,0.2,,3,3,3,3,0,0,0.111,0.111
0:00:00.111,200,2.63,0.19,0.47,-0.05,9.71,0.06,-0.06,-0.06,13.19,-39.69,18.56,198.89,2.51,0.32,,3,3,3,3,0,0,0.111,0.111
0:00:00.111,200,2.63,0.19,0.43,-0.04,9.69,0.06,0,0,13.19,-39.69,18.56,198.46,2.34,0.32,,3,3,3,3,0,0,0.111,0.111
0:00:00.221,200,2.63,0.19,0.43,-0.04,9.71,-0.06,-0.06,0.12,14.69,-40.06,18.25,198.65,2.54,0.24,,3,3,3,3,0,0,0.221,0.221
0:00:00.221,200,2.63,0.19,0.44,-0.05,9.73,0.06,0,0.06,14.69,-40.06,18.25,198.79,2.63,0.26,,3,3,3,3,0,0,0.221,0.221
0:00:00.221,200,2.63,0.19,0.46,-0.03,9.71,0,0.06,0,14.38,-39.38,18.56,198.85,2.72,0.19,,3,3,3,3,0,0,0.221,0.221
0:00:00.221,200,2.63,0.19,0.44,-0.01,9.72,-0.06,0,0.06,14.38,-39.38,18.56,198.87,2.63,0.09,,3,3,3,3,0,0,0.221,0.221
0:00:00.221,200,2.63,0.19,0.44,-0.05,9.73,0.06,-0.06,-0.19,14.69,-39.69,16.56,199.01,2.66,0.21,,3,3,3,3,0,0,0.221,0.221
