Time,yaw,pitch,roll,acx,acy,acz,gyx,gyy,gyz,mgx,mgy,mgz,ayaw,apitch,aroll,,sys,g,a,m,delete1,delete2,delete3,time
0:00:00.015,300,1.56,1,0.27,-0.22,9.73,0.06,-0.19,-0.12,38,21.87,16.5,300.82,1.75,0.97,,3,3,3,3,0,0,0.015,0.015
0:00:00.015,300,1.56,1,0.29,-0.18,9.73,0.12,-0.12,0.06,38,21.87,16.5,300.81,1.75,0.97,,3,3,3,3,0,0,0.015,0.015
0:00:00.015,300,1.56,1,0.3,-0.14,9.72,-0.06,0.19,0.06,37.56,22.25,17.75,300.82,1.75,0.96,,3,3,3,3,0,0,0.015,0.015
0:00:00.015,300,1.56,1,0.28,-0.14,9.74,0.06,-0.19,-0.06,37.56,22.25,17.75,300.83,1.75,0.95,,3,3,3,3,0,0,0.015,0.015
0:00:00.112,300,1.56,1,0.29,-0.16,9.72,0,-0.06,0,37.56,21.56,17.25,300.82,1.75,0.96,,3,3,3,3,0,0,0.112,0.112
0:00:00.112,300,1.56,1,0.3,-0.15,9.74,-0.06,0,-0.06,37.56,21.56,17.25,300.82,1.75,0.95,,3,3,3,3,0,0,0.112,0.112
0:00:00.112,300,1.56,1,0.28,-0.2,9.73,0.12,0.06,-0.06,37.25,22.25,16.5,300.83,1.74,0.96,,3,3,3,3,0,0,0.112,0.112
0:00:00.112,300,1.56,1,0.3,-0.17,9.72,0,0,-0.06,37.25,22.25,16.5,300.84,1.74,0.96,,3,3,3,3,0,0,0.112,0.112
0:00:00.221,300,1.56,1,0.3,-0.12,9.73,0,0,0,38.38,22.25,17.25,300.84,1.74,0.95,,3,3,3,3,0,0,0.221,0.221
0:00:00.221,300,1.56,1,0.3,-0.16,9.74,-0.06,0.06,-0.12,38.38,22.25,17.25,300.84,1.74,0.95,,3,3,3,3,0,0,0.221,0.221
0:00:00.221,300,1.56,1,0.28,-0.21,9.74,0,0,0,36.88,21.56,17.75,300.84,1.74,0.96,,3,3,3,3,0,0,0.221,0.221
0:00:00.221,300,1.56,1,0.3,-0.13,9.68,0.19,-0.06,0,36.88,21.56,17.75,300.85,1.74,0.95,,3,3,3,3,0,0,0.221,0.221
0:00:00.342,300,1.56,1,0.3,-0.11,9.73,0.06,0,-0.06,37.25,21.87,17.75,300.85,1.74,0.94,,3,3,3,3,0,0,0.342,0.342
0:00:00.342,300,1.56,1,0.3,-0.16,9.71,0.12,0,0,37.25,21.87,17.75,300.86,1.74,0.93,,3,3,3,3,0,0,0.342,0.342
0:00:00.342,300,1.56,1,0.28,-0.18,9.68,-0.06,-0.06,-0.12,37.56,21.87,17.25,300.86,1.74,0.94,,3,3,3,3,0,0,0.342,0.342
0:00:00.342,300,1.56,1,0.28,-0.19,9.72,0.06,0.06,0.06,37.56,21.87,17.25,300.86,1.73,0.94,,3,3,3,3,0,0,0.342,0.342
